OverallQual,GrLivArea,TotalBsmtSF,2ndFlrSF,1stFlrSF,BsmtFinSF1,GarageCars,FullBath,GarageArea,LotArea,MasVnrArea,YearBuilt,YearRemodAdd,GarageYrBlt,BsmtUnfSF,BsmtQual,LotFrontage,OpenPorchSF,OverallCond,GarageType,WoodDeckSF,TotRmsAbvGrd,MSSubClass,MoSold,BsmtExposure,LotShape,MSZoning,BedroomAbvGr,MasVnrType,ExterQual,HalfBath,FireplaceQu,KitchenQual,Condition1,BldgType,SaleCondition,Street,PavedDrive,SaleType,SalePrice
7,1710.0,856.0,854.0,856.0,706.0,2,2,548.0,8450.0,196.0,2003,2003,2003.0,150.0,Gd,65.0,61.0,5,Attchd,0.0,8,60,2,No,Reg,RL,3,BrkFace,Gd,1,None,Gd,Norm,1Fam,Normal,Pave,Y,WD,208500.0
6,1262.0,1262.0,0.0,1262.0,978.0,2,2,460.0,9600.0,0.0,1976,1976,1976.0,284.0,Gd,80.0,0.0,8,Attchd,298.0,6,20,5,Gd,Reg,RL,3,None,TA,0,TA,TA,Feedr,1Fam,Normal,Pave,Y,WD,181500.0
7,1786.0,920.0,866.0,920.0,486.0,2,2,608.0,11250.0,162.0,2001,2002,2001.0,434.0,Gd,68.0,42.0,5,Attchd,0.0,6,60,9,Mn,IR1,RL,3,BrkFace,Gd,1,TA,Gd,Norm,1Fam,Normal,Pave,Y,WD,223500.0
7,1717.0,756.0,756.0,961.0,216.0,3,1,642.0,9550.0,0.0,1915,1970,1998.0,540.0,TA,60.0,35.0,5,Detchd,0.0,7,70,2,No,IR1,RL,3,None,TA,0,Gd,Gd,Norm,1Fam,Abnorml,Pave,Y,WD,140000.0
8,2198.0,1145.0,1053.0,1145.0,655.0,3,2,836.0,14260.0,350.0,2000,2000,2000.0,490.0,Gd,84.0,84.0,5,Attchd,192.0,9,60,12,Av,IR1,RL,4,BrkFace,Gd,1,TA,Gd,Norm,1Fam,Normal,Pave,Y,WD,250000.0
5,1362.0,796.0,566.0,796.0,732.0,2,1,480.0,14115.0,0.0,1993,1995,1993.0,64.0,Gd,85.0,30.0,5,Attchd,40.0,5,50,10,No,IR1,RL,1,None,TA,1,None,TA,Norm,1Fam,Normal,Pave,Y,WD,143000.0
8,1694.0,1686.0,0.0,1694.0,1369.0,2,2,636.0,10084.0,186.0,2004,2005,2004.0,317.0,Ex,75.0,57.0,5,Attchd,255.0,7,20,8,Av,Reg,RL,3,Stone,Gd,0,Gd,Gd,Norm,1Fam,Normal,Pave,Y,WD,307000.0
7,2090.0,1107.0,983.0,1107.0,859.0,2,2,484.0,10382.0,240.0,1973,1973,1973.0,216.0,Gd,101.89209979188767,204.0,6,Attchd,235.0,7,60,11,Mn,IR1,RL,3,Stone,TA,1,TA,TA,PosN,1Fam,Normal,Pave,Y,WD,200000.0
7,1774.0,952.0,752.0,1022.0,0.0,2,2,468.0,6120.0,0.0,1931,1950,1931.0,952.0,None,51.0,0.0,5,Detchd,90.0,8,50,4,None,Reg,RM,2,None,TA,0,TA,TA,Artery,1Fam,Abnorml,Pave,Y,WD,129900.0
5,1077.0,991.0,0.0,1077.0,851.0,1,1,205.0,7420.0,0.0,1939,1950,1939.0,140.0,TA,50.0,4.0,6,Attchd,0.0,5,190,1,No,Reg,RL,2,None,TA,0,TA,TA,Artery,2fmCon,Normal,Pave,Y,WD,118000.0
5,1040.0,1040.0,0.0,1040.0,906.0,1,1,384.0,11200.0,0.0,1965,1965,1965.0,134.0,TA,70.0,0.0,5,Detchd,0.0,5,20,2,No,Reg,RL,3,None,TA,0,None,TA,Norm,1Fam,Normal,Pave,Y,WD,129500.0
9,2324.0,1175.0,1142.0,1182.0,998.0,3,3,736.0,11924.0,286.0,2005,2006,2005.0,177.0,Ex,85.0,21.0,5,BuiltIn,147.0,11,60,7,No,IR1,RL,4,Stone,Ex,0,Gd,Ex,Norm,1Fam,Partial,Pave,Y,New,345000.0
5,912.0,912.0,0.0,912.0,737.0,1,1,352.0,12968.0,0.0,1962,1962,1962.0,175.0,TA,113.87712676389408,0.0,6,Detchd,140.0,4,20,9,No,IR2,RL,2,None,TA,0,None,TA,Norm,1Fam,Normal,Pave,Y,WD,144000.0
7,1494.0,1494.0,0.0,1494.0,0.0,3,2,840.0,10652.0,306.0,2006,2007,2006.0,1494.0,None,91.0,33.0,5,Attchd,160.0,7,20,8,None,IR1,RL,3,Stone,Gd,0,Gd,Gd,Norm,1Fam,Partial,Pave,Y,New,279500.0
6,1253.0,1253.0,0.0,1253.0,733.0,1,1,352.0,10920.0,212.0,1960,1960,1960.0,520.0,TA,104.49880382090504,213.0,5,Attchd,0.0,5,20,5,No,IR1,RL,2,BrkFace,TA,1,Fa,TA,Norm,1Fam,Normal,Pave,Y,WD,157000.0
7,854.0,832.0,0.0,854.0,0.0,2,1,576.0,6120.0,0.0,1929,2001,1991.0,832.0,None,51.0,112.0,8,Detchd,48.0,5,45,7,None,Reg,RM,2,None,TA,0,None,TA,Norm,1Fam,Normal,Pave,Y,WD,132000.0
6,1004.0,1004.0,0.0,1004.0,578.0,2,1,480.0,11241.0,180.0,1970,1970,1970.0,426.0,TA,59.9111111111111,0.0,7,Attchd,0.0,5,20,3,No,IR1,RL,2,BrkFace,TA,0,TA,TA,Norm,1Fam,Normal,Pave,Y,WD,149000.0
4,1296.0,0.0,0.0,1296.0,0.0,2,2,516.0,10791.0,0.0,1967,1967,1967.0,0.0,None,72.0,0.0,5,CarPort,0.0,6,90,10,None,Reg,RL,2,None,TA,0,None,TA,Norm,Duplex,Normal,Pave,Y,WD,90000.0
5,1114.0,1114.0,0.0,1114.0,646.0,2,1,576.0,13695.0,0.0,2004,2004,2004.0,468.0,TA,66.0,102.0,5,Detchd,0.0,6,20,6,No,Reg,RL,3,None,TA,1,None,Gd,RRAe,1Fam,Normal,Pave,Y,WD,159000.0
5,1339.0,1029.0,0.0,1339.0,504.0,1,1,294.0,7560.0,0.0,1958,1965,1958.0,525.0,TA,70.0,0.0,6,Attchd,0.0,6,20,5,No,Reg,RL,3,None,TA,0,None,TA,Norm,1Fam,Abnorml,Pave,Y,COD,139000.0
8,2376.0,1158.0,1218.0,1158.0,0.0,3,3,853.0,14215.0,380.0,2005,2006,2005.0,1158.0,None,101.0,154.0,5,BuiltIn,240.0,9,60,11,None,IR1,RL,4,BrkFace,Gd,1,Gd,Gd,Norm,1Fam,Partial,Pave,Y,New,325300.0
7,1108.0,637.0,0.0,1108.0,0.0,1,1,280.0,7449.0,0.0,1930,1950,1930.0,637.0,None,57.0,0.0,7,Attchd,0.0,6,45,6,None,Reg,RM,3,None,TA,0,Gd,Gd,Norm,1Fam,Normal,Pave,N,WD,139400.0
8,1795.0,1777.0,0.0,1795.0,0.0,2,2,534.0,9742.0,281.0,2002,2002,2002.0,1777.0,None,75.0,159.0,5,Attchd,171.0,7,20,9,None,Reg,RL,3,BrkFace,Gd,0,Gd,Gd,Norm,1Fam,Normal,Pave,Y,WD,230000.0
5,1060.0,1040.0,0.0,1060.0,840.0,2,1,572.0,4224.0,0.0,1976,1976,1976.0,200.0,Gd,44.0,110.0,7,Attchd,100.0,6,120,6,No,Reg,RM,3,None,TA,0,TA,TA,Norm,TwnhsE,Normal,Pave,Y,WD,129900.0
